"filename", "language", "C++", "CMake", "Dart", "JSON", "YAML", "Markdown", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\address.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\address.new.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 3, 108
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\widget\single_adress.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\profile.dart", "Dart", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 3, 98
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\widgets\profile_menu.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\setting\setting.dart", "Dart", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 2, 3, 141
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\controller\homeController\home_controller.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\Wishlist\whish_list.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\all_brands\all_brands.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\all_brands\brands_product.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\all_products\all_products.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\cart_screen.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\cart_button.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\coupon_widget.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
